product_name,sds_filename,database_match,match_confidence,signal_word,hazard_statements,precautionary_statements,response_statements,components_determining_hazard,first_aid,storage,disposal,un_number,proper_shipping_name,hazard_class,packing_group,emergency_response_guide,extraction_confidence,processing_notes,processing_timestamp
SpecHard Intraseal,SpecHard-Intraseal-sds.pdf,SpecHard Intraseal,1,DANGER,H302 Harmful if swallowed H314 Causes severe skin burns and eye damage,"P260 Do not breathe dust or mists. P264 Wash skin thoroughly after handling. P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection.",,"WT% CAS No. EINECS No. Hazard Classification Sodium Silicate N < 50% 1344-09-8 215-687-4 Acute Tox. 4, Skin Corr. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause burns. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.285Z
SpecLevel PCT-AGG,SpecLevel-PCT-AGG-sds.pdf,SpecLevel PCT-AGG,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50 – 70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25 – 45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3 – 10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1 – 4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center if you feel unwell.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up. Version 1 pg. 3 SpecLevel PCT - AGG,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.311Z
SpecLevel PCT,SpecLevel-PCT-sds.pdf,SpecLevel PCT,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50–70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25–45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3–10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1–4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.344Z
SpecPatch 15,SpecPatch-15-sds.pdf,SpecPatch 15,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50 – 70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25 – 45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3 – 10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1 – 4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.368Z
SpecPatch 30,SpecPatch-30-sds.pdf,SpecPatch 30,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50–70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25–45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3–10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1–4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.400Z
SpecPatch 5,SpecPatch-5-sds.pdf,SpecPatch 5,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50 – 70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25 – 45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3 – 10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1 – 4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.425Z
SpecPatch Light,SpecPatch-Light-sds.pdf,SpecPatch Light,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50 – 70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25 – 45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3 – 10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1 – 4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.448Z
SpecPlate,SpecPlate-Hardener-sds.pdf,SpecPlate,0.9,DANGER,H351 Suspected of causing cancer H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection..",,"WT% CAS No. EINECS No. Hazard Classification Portland Cement < 50% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Crystalline Silica (Quartz)/ Silica Sand < 1% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Napthalene < 0.4% 91-20-3 202-049-5 Acute Tox. 4, Carc. 2, Aquatic Acute 1, Aquatic Chron 1 Iron Oxide < 65% 1309-37-1 N/A N/A Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.472Z
SpecPlate,SpecPlate-NOX-sds.pdf,SpecPlate,0.9,DANGER,H351 Suspected of causing cancer H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection..",,"WT% CAS No. EINECS No. Hazard Classification Portland Cement < 50% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Crystalline Silica (Quartz)/ Silica Sand < 1% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Napthalene < 0.4% 91-20-3 202-049-5 Acute Tox. 4, Carc. 2, Aquatic Acute 1, Aquatic Chron 1 Ferro Silica < 65% 1309-37-1 N/A N/A Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.495Z
SpecPlate Topping,SpecPlate-Topping-sds.pdf,SpecPlate Topping,1,DANGER,H351 Suspected of causing cancer H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection..",,"WT% CAS No. EINECS No. Hazard Classification Portland Cement < 50% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Crystalline Silica (Quartz)/ Silica Sand < 1% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Napthalene < 0.4% 91-20-3 202-049-5 Acute Tox. 4, Carc. 2, Aquatic Acute 1, Aquatic Chron 1 Iron Oxide < 65% 1309-37-1 N/A N/A Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.525Z
SpecPlug,SpecPlug-sds.pdf,SpecPlug,1,DANGER,H351 Suspected of causing cancer H373 May cause damage to organs (Respiratory System) through prolonged or repeated exposure H335 May cause respiratory irritation H315 Causes skin irritation H317 May cause an allergic skin reaction H318 Causes serious eye damage,"P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breath dust/fume/gas/mist/vapours/spray. P264 Wash thoroughly after handling. P271 Use only outdoors or in a well-ventilated area. P272 Contaminated work clothing should not be allowed out of the workplace P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/eye protection/face protection.",,"WT% CAS No. EINECS No. Hazard Classification Crystalline Silica (Quartz)/ Silica Sand 50 – 70% 14808-60-7 238-878-4 Carc. 2, STOT RE2 Portland Cement 25 – 45% 65997-15-1 266-043-4 STOT SE3, Skin Irrit. 2, Eye Dam. 1, Skin Sens. 1 Calcium Oxide 3 – 10% 1305-78-8 215-138-9 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Aluminum Sulfate 1 – 4% 10043-01-3 233-135-0 STOT SE3, Skin Irrit. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists.",Statements: P403+P233 Store in a well-ventilated place. Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:56.549Z
SpecPoxy 1000 (Part A),SpecPoxy-1000-PartA&B-sds.pdf,SpecPoxy 1000 (Part A),0.8181818181818181,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy.,"). 7.1 Precautions for Safe Handling: To prevent eye contact under the foreseeable conditions of use, wear appropriate safety eyewear. When handling, do not eat, drink, or smoke. Wash thoroughly after handling. Do not handle or store near heat, sparks, or flame. 7.2 Storage and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy. 8.1 Exposure Parameters: Ingredients CAS No. OSHA PEL NIOSH PEL Bisphenol A Diglycidyl Ether Resin 25068-38-6 Not Listed Not Listed Glycidyl 2-methylphenyl Ether 2210-79-9 Not Listed Not Listed 8.2 Exposure Controls: Ventilation and Engineering Controls: Use with adequate ventilation to ensure exposure levels are maintained below the limits provided above. The following information on appropriate Personal Protective Equipment is provided to assist employers in complying with OSHA regulations found in 29 CFR Subpart I (beginning at 1910.132), or",,None Section 14: - TRANSPORTATION INFORMATION Section 13: – DISPOSAL CONSIDERATIONS Version 1 pg. 9 SpecPoxy 1000 Part A,Number and Description: Class 8 – Corrosive substances,Not applicable,,86,,2025-09-25T06:16:56.599Z
SpecPoxy 1000 (Part A),SpecPoxy-1000-PartAB-sds.pdf,SpecPoxy 1000 (Part A),0.8636363636363636,WARNING,H315 Causes skin irritation H317 May cause an allergic skin reaction H319 Causes serious eye irritation H341 Suspected of causing genetic defects H411 Toxic to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P272 Contaminated clothing should not be allowed out of the workplace. P273 Avoid release to the environment,,"WT% CAS No. EINECS No. Hazard Classification Bisphenol A Diglycidyl Ether Resin 60-70% 25068-38-6 500-033-5 Skin Irrit. 2, Skin Sens. 1, Eye Irrit. 2, Aquatic Chronic 2 Glycidyl 2-methylphenyl Ether 5-10% 2210-79-9 218-645-3 Skin Irrit. 2, Skin Sens. 1, Muta. 2, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","4.1 Description of First Aid Measures: Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediatly. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to the eyes may cause irritation. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure.",and Handling Practices: Keep away from incompatible materials. Keep container closed when not in use and store in well ventilated area. 7.3 Specific Uses: Epoxy.,"Statements: P501 Dispose of contents/container in accordance with local/regional/national/international regulations. 2.3 Health Hazards or Risks From Exposure: Symptoms of Overexposure by Route of Exposure: The most significant routes of overexposure for this product are by contact with skin or eyes. The symptoms of overexposure are described in the following paragraphs. Acute: Inhalation: May cause respiratory tract irritation. May cause headaches, drowsiness, or dizziness. Skin Contact: May be irritating to skin. Contact with skin may cause allergic reaction. Eye Contact: May cause irritation to the eyes. Ingestion: May be harmful if swallowed. May cause nausea or diarrhea. Chronic: Not known. SpecPoxy 1000 Part A Version 1 pg. 3 Target Organs: Acute: Eyes, Skin Chronic: Not known.",,None SpecPoxy 1000 Part A Version 1 pg. 9,Number and Description: Class 8 – Corrosive substances,Not applicable,,86,,2025-09-25T06:16:56.649Z
